Issue Type,Issue Key,Summary,Description,Priority,Epic Name,Epic Link,Story Points,Assignee,Labels,Component
Story,TRVL-801,RBAC Implementation,"Three roles: admin, operator, viewer. JWT authentication. Permission enforcement on all endpoints.",P1,,TRVL-SEC-008,5,Backend Engineer,"rbac,auth,jwt",Backend
Story,TRVL-802,Audit Logging,"Comprehensive audit logs: authentication, data access, trip creation, config changes. 1-year retention.",P1,,TRVL-SEC-008,3,Backend Engineer,"audit,logging,compliance",Backend
Story,TRVL-803,Data Encryption,"Fernet encryption at rest. TLS in transit. Encrypted backups. No PII in vectors.",P1,,TRVL-SEC-008,3,Security Engineer,"encryption,security,pii",Security

Epic,TRVL-DEPLOY-009,Deployment & DevOps,Docker containerization and CI/CD pipeline,P1,Deployment,,,DevOps,"deployment,docker,cicd",DevOps
Story,TRVL-901,Docker Containerization,"Dockerfile for API server. docker-compose.yml with API + Postgres + ChromaDB. Health checks.",P1,,TRVL-DEPLOY-009,3,DevOps Engineer,"docker,containers,compose",DevOps
Story,TRVL-902,CI/CD Pipeline,"GitHub Actions: automated testing, linting, code coverage >80%, staging deployment, production approval.",P1,,TRVL-DEPLOY-009,5,DevOps Engineer,"cicd,github-actions,automation",DevOps

Epic,TRVL-ABTEST-010,A/B Testing,Pacing experiment infrastructure and variant assignment,P1,A/B Testing,,,ML + Backend,"ab-testing,experiments,analytics",ML
Story,TRVL-1001,Variant Assignment System,"Deterministic MD5-based assignment. 50/50 split between control and slow_hidden_gems. Stratify by city.",P1,,TRVL-ABTEST-010,3,Backend Engineer,"ab-testing,variant,randomization",Backend
Story,TRVL-1002,Experiment Analytics,"Variant performance comparison: overall rating, pacing complaints, completion rate. Statistical significance testing.",P1,,TRVL-ABTEST-010,5,ML Engineer,"analytics,statistics,ab-testing",ML
Story,TRVL-1003,Experiment Dashboard,"Real-time monitoring: sample sizes, metrics by variant, confidence levels, winner determination.",P2,,TRVL-ABTEST-010,5,Full Stack Engineer,"dashboard,visualization,monitoring",Full Stack
